trip_id,device_id,date,start_time,end_time,start_terminal,end_terminal,travel_time,dwell_time,SITR,day_of_week,day_name,hour_of_day,weekend,rush_hour,excess_travel_time,Direction
17,116,2022-09-04,13:01:40,13:50:21,Digana,Kandy,48.68333333333333,7.75,0.15919205751454982,6,Sunday,13.0,1,0,-8.755000000000003,Digana-Kandy
18,116,2022-09-04,17:21:15,18:07:41,Kandy,Digana,46.43333333333333,4.233333333333333,0.09117013639626706,6,Sunday,17.25,1,1,-11.005000000000003,Kandy-Digana
19,116,2022-09-06,08:19:34,09:04:06,Digana,Kandy,44.53333333333333,4.916666666666667,0.11040419161676648,1,Tuesday,8.25,0,1,-12.905000000000001,Digana-Kandy
20,116,2022-09-06,10:01:56,10:54:58,Kandy,Digana,53.03333333333333,3.75,0.07071024512884978,1,Tuesday,10.0,0,0,-4.405000000000001,Kandy-Digana
21,116,2022-09-06,12:41:52,13:41:11,Digana,Kandy,59.31666666666667,9.433333333333334,0.15903343635852768,1,Tuesday,12.75,0,0,1.8783333333333374,Digana-Kandy
22,116,2022-09-06,14:30:27,15:19:32,Kandy,Digana,49.083333333333336,4.766666666666668,0.09711375212224112,1,Tuesday,14.5,0,0,-8.354999999999997,Kandy-Digana
23,116,2022-09-06,17:22:22,18:17:07,Digana,Kandy,54.75,5.5,0.1004566210045662,1,Tuesday,17.25,0,1,-2.6883333333333326,Digana-Kandy
25,116,2022-09-07,07:41:47,08:30:14,Digana,Kandy,48.45,5.183333333333334,0.10698314413484691,2,Wednesday,7.75,0,1,-8.98833333333333,Digana-Kandy
26,116,2022-09-07,09:42:07,10:37:17,Kandy,Digana,55.16666666666666,5.483333333333333,0.09939577039274926,2,Wednesday,9.75,0,0,-2.2716666666666754,Kandy-Digana
27,116,2022-09-07,12:31:07,13:27:19,Digana,Kandy,56.2,12.1,0.21530249110320282,2,Wednesday,12.5,0,0,-1.2383333333333297,Digana-Kandy
28,116,2022-09-07,16:41:28,17:29:02,Kandy,Digana,47.56666666666667,3.8,0.07988787666433075,2,Wednesday,16.75,0,1,-9.871666666666663,Kandy-Digana
29,116,2022-09-08,07:50:58,08:46:50,Digana,Kandy,55.86666666666667,7.633333333333334,0.1366348448687351,3,Thursday,7.75,0,1,-1.5716666666666654,Digana-Kandy
30,116,2022-09-08,09:52:15,10:49:21,Kandy,Digana,57.1,7.016666666666667,0.12288382953882078,3,Thursday,9.75,0,0,-0.33833333333333115,Kandy-Digana
31,116,2022-09-08,11:41:31,12:38:37,Digana,Kandy,57.1,7.300000000000001,0.12784588441331,3,Thursday,11.75,0,0,-0.33833333333333115,Digana-Kandy
32,116,2022-09-08,12:52:37,13:45:12,Kandy,Digana,52.583333333333336,4.25,0.08082408874801901,3,Thursday,13.0,0,0,-4.854999999999997,Kandy-Digana
33,116,2022-09-08,16:51:55,17:47:22,Digana,Kandy,55.45,20.5,0.369702434625789,3,Thursday,16.75,0,1,-1.9883333333333297,Digana-Kandy
34,116,2022-09-08,18:27:03,19:12:47,Kandy,Digana,45.73333333333333,4.8500000000000005,0.10604956268221577,3,Thursday,18.5,0,0,-11.705000000000005,Kandy-Digana
35,116,2022-09-09,08:11:08,08:56:45,Digana,Kandy,45.61666666666667,5.25,0.11508951406649616,4,Friday,8.25,0,1,-11.821666666666665,Digana-Kandy
36,116,2022-09-09,09:51:15,10:44:45,Kandy,Digana,53.5,4.7,0.08785046728971962,4,Friday,9.75,0,0,-3.9383333333333326,Kandy-Digana
37,116,2022-09-09,13:11:11,14:09:17,Digana,Kandy,58.1,7.483333333333333,0.12880091795754448,4,Friday,13.25,0,0,0.6616666666666688,Digana-Kandy
38,116,2022-09-09,15:02:17,15:51:12,Kandy,Digana,48.91666666666666,3.5,0.07155025553662693,4,Friday,15.0,0,0,-8.521666666666675,Kandy-Digana
39,116,2022-09-11,09:46:32,10:39:08,Digana,Kandy,52.6,7.0,0.13307984790874525,6,Sunday,9.75,1,0,-4.838333333333331,Digana-Kandy
40,116,2022-09-11,12:12:36,13:11:08,Kandy,Digana,58.53333333333333,20.1,0.34339407744874717,6,Sunday,12.25,1,0,1.0949999999999989,Kandy-Digana
41,116,2022-09-11,15:45:21,16:37:28,Digana,Kandy,52.11666666666667,7.95,0.15254237288135594,6,Sunday,15.75,1,0,-5.321666666666665,Digana-Kandy
42,116,2022-09-11,17:29:32,18:16:36,Kandy,Digana,47.06666666666667,4.966666666666667,0.1055240793201133,6,Sunday,17.5,1,1,-10.371666666666663,Kandy-Digana
43,116,2022-09-12,07:30:27,08:06:20,Digana,Kandy,35.88333333333333,4.583333333333334,0.12772875058058525,0,Monday,7.5,0,1,-21.555,Digana-Kandy
44,116,2022-09-12,09:01:59,10:00:08,Kandy,Digana,58.15,8.25,0.1418744625967326,0,Monday,9.0,0,1,0.711666666666666,Kandy-Digana
45,116,2022-09-12,11:41:44,12:28:38,Digana,Kandy,46.9,6.283333333333333,0.13397299218194741,0,Monday,11.75,0,0,-10.538333333333334,Digana-Kandy
46,116,2022-09-12,13:13:30,13:58:06,Kandy,Digana,44.6,5.35,0.11995515695067263,0,Monday,13.25,0,0,-12.838333333333331,Kandy-Digana
47,116,2022-09-12,16:31:53,17:25:40,Digana,Kandy,53.78333333333333,6.7,0.12457390765416797,0,Monday,16.5,0,1,-3.655000000000001,Digana-Kandy
48,116,2022-09-12,18:12:20,18:56:27,Kandy,Digana,44.11666666666667,3.8,0.08613524744994333,0,Monday,18.25,0,0,-13.321666666666665,Kandy-Digana
49,116,2022-09-13,07:01:06,07:49:42,Digana,Kandy,48.6,5.733333333333333,0.11796982167352538,1,Tuesday,7.0,0,1,-8.838333333333331,Digana-Kandy
50,116,2022-09-13,09:12:55,10:06:28,Kandy,Digana,53.55,5.25,0.09803921568627451,1,Tuesday,9.25,0,0,-3.8883333333333354,Kandy-Digana
51,116,2022-09-13,12:01:08,12:53:15,Digana,Kandy,52.11666666666667,6.5,0.12472017908538535,1,Tuesday,12.0,0,0,-5.321666666666665,Digana-Kandy
52,116,2022-09-13,14:20:37,15:12:02,Kandy,Digana,51.41666666666666,6.550000000000001,0.12739059967585092,1,Tuesday,14.25,0,0,-6.021666666666675,Kandy-Digana
53,116,2022-09-13,16:21:59,17:14:57,Digana,Kandy,52.96666666666667,4.816666666666666,0.0909376966645689,1,Tuesday,16.25,0,1,-4.471666666666664,Digana-Kandy
54,116,2022-09-13,18:50:20,19:38:24,Kandy,Digana,48.06666666666667,4.949999999999999,0.10298196948682384,1,Tuesday,18.75,0,0,-9.371666666666663,Kandy-Digana
55,116,2022-09-14,06:41:48,08:04:02,Digana,Kandy,82.23333333333333,41.63333333333333,0.5062829347385488,2,Wednesday,6.75,0,0,24.795,Digana-Kandy
56,116,2022-09-14,08:41:33,09:22:18,Kandy,Digana,40.75,1.933333333333333,0.04744376278118608,2,Wednesday,8.75,0,1,-16.688333333333333,Kandy-Digana
57,116,2022-09-14,11:12:07,12:13:53,Digana,Kandy,61.766666666666666,11.583333333333332,0.18753372908796545,2,Wednesday,11.25,0,0,4.328333333333333,Digana-Kandy
58,116,2022-09-14,13:02:00,13:56:58,Kandy,Digana,54.96666666666667,5.233333333333333,0.09520921770770163,2,Wednesday,13.0,0,0,-2.471666666666664,Kandy-Digana
59,116,2022-09-17,06:22:20,07:05:58,Digana,Kandy,43.63333333333333,4.666666666666666,0.106951871657754,5,Saturday,6.25,1,0,-13.805,Digana-Kandy
60,116,2022-09-17,07:42:19,08:33:25,Kandy,Digana,51.1,7.25,0.14187866927592954,5,Saturday,7.75,1,1,-6.338333333333331,Kandy-Digana
61,116,2022-09-17,11:00:41,11:56:00,Digana,Kandy,55.31666666666667,10.833333333333334,0.19584212112081953,5,Saturday,11.0,1,0,-2.1216666666666626,Digana-Kandy
62,116,2022-09-17,12:22:02,13:17:24,Kandy,Digana,55.36666666666667,9.95,0.17971101745936183,5,Saturday,12.25,1,0,-2.0716666666666654,Kandy-Digana
63,116,2022-09-18,06:07:47,06:42:45,Digana,Kandy,34.96666666666667,2.15,0.06148713060057197,6,Sunday,6.25,1,0,-22.471666666666664,Digana-Kandy
64,116,2022-09-18,07:21:02,08:16:04,Kandy,Digana,55.03333333333333,6.800000000000001,0.12356147789218658,6,Sunday,7.25,1,1,-2.405000000000001,Kandy-Digana
65,116,2022-09-19,06:24:28,07:06:18,Digana,Kandy,41.833333333333336,4.683333333333334,0.11195219123505976,0,Monday,6.5,0,0,-15.604999999999997,Digana-Kandy
66,116,2022-09-19,07:42:32,08:34:39,Kandy,Digana,52.11666666666667,5.1000000000000005,0.09785737128237929,0,Monday,7.75,0,1,-5.321666666666665,Kandy-Digana
67,116,2022-09-19,10:41:33,11:39:09,Digana,Kandy,57.6,9.0,0.15625,0,Monday,10.75,0,0,0.16166666666666885,Digana-Kandy
68,116,2022-09-19,12:12:09,13:03:18,Kandy,Digana,51.15,5.216666666666667,0.10198761811665039,0,Monday,12.25,0,0,-6.288333333333334,Kandy-Digana
69,116,2022-09-19,14:52:01,15:46:41,Digana,Kandy,54.66666666666666,8.216666666666669,0.15030487804878054,0,Monday,14.75,0,0,-2.7716666666666754,Digana-Kandy
70,116,2022-09-19,17:38:28,18:25:04,Kandy,Digana,46.6,4.466666666666667,0.09585121602288985,0,Monday,17.75,0,1,-10.838333333333331,Kandy-Digana
72,116,2022-09-21,07:22:14,08:04:12,Kandy,Digana,41.96666666666667,3.266666666666667,0.07783955520254171,2,Wednesday,7.25,0,1,-15.471666666666664,Kandy-Digana
73,116,2022-09-21,10:21:50,11:19:06,Digana,Kandy,57.266666666666666,9.25,0.16152502910360886,2,Wednesday,10.25,0,0,-0.17166666666666686,Digana-Kandy
74,116,2022-09-21,12:12:18,13:12:30,Kandy,Digana,60.2,8.2,0.13621262458471758,2,Wednesday,12.25,0,0,2.7616666666666703,Kandy-Digana
75,116,2022-09-21,14:41:42,15:29:56,Digana,Kandy,48.23333333333333,5.066666666666666,0.10504492052522461,2,Wednesday,14.75,0,0,-9.205000000000005,Digana-Kandy
76,116,2022-09-21,16:51:49,17:43:57,Kandy,Digana,52.13333333333333,5.7,0.10933503836317136,2,Wednesday,16.75,0,1,-5.305,Kandy-Digana
77,116,2022-09-22,08:40:23,09:34:22,Digana,Kandy,53.98333333333333,9.85,0.18246372337141095,3,Thursday,8.75,0,1,-3.4550000000000054,Digana-Kandy
78,116,2022-09-22,10:11:50,11:06:19,Kandy,Digana,54.48333333333333,7.116666666666667,0.13062098501070665,3,Thursday,10.25,0,0,-2.9550000000000054,Kandy-Digana
79,116,2022-09-22,12:41:50,13:43:08,Digana,Kandy,61.3,9.866666666666667,0.16095704187058185,3,Thursday,12.75,0,0,3.8616666666666646,Digana-Kandy
80,116,2022-09-22,14:11:16,15:04:32,Kandy,Digana,53.266666666666666,5.25,0.09856070087609511,3,Thursday,14.25,0,0,-4.171666666666667,Kandy-Digana
81,116,2022-09-22,16:42:26,17:34:24,Digana,Kandy,51.96666666666667,4.066666666666666,0.07825529185375239,3,Thursday,16.75,0,1,-5.471666666666664,Digana-Kandy
82,116,2022-09-22,19:08:19,19:43:57,Kandy,Digana,35.63333333333333,2.25,0.06314312441534144,3,Thursday,19.25,0,0,-21.805,Kandy-Digana
83,116,2022-09-23,08:51:09,09:39:57,Digana,Kandy,48.8,6.7,0.13729508196721313,4,Friday,8.75,0,1,-8.638333333333335,Digana-Kandy
84,116,2022-09-23,10:21:54,11:10:54,Kandy,Digana,49.0,2.0,0.04081632653061224,4,Friday,10.25,0,0,-8.438333333333333,Kandy-Digana
85,116,2022-09-23,13:01:52,13:58:36,Digana,Kandy,56.73333333333333,7.116666666666667,0.12544065804935373,4,Friday,13.0,0,0,-0.7050000000000054,Digana-Kandy
86,116,2022-09-23,14:41:24,15:34:41,Kandy,Digana,53.28333333333333,6.35,0.11917422583672192,4,Friday,14.75,0,0,-4.155000000000001,Kandy-Digana
87,116,2022-09-23,17:21:17,18:16:05,Digana,Kandy,54.8,6.116666666666667,0.11161800486618007,4,Friday,17.25,0,1,-2.6383333333333354,Digana-Kandy
88,116,2022-09-23,19:13:12,19:55:25,Kandy,Digana,42.21666666666667,2.4166666666666665,0.05724437425977102,4,Friday,19.25,0,0,-15.221666666666664,Kandy-Digana
89,116,2022-09-24,09:01:16,09:52:49,Digana,Kandy,51.55,6.216666666666667,0.12059489169091497,5,Saturday,9.0,1,1,-5.888333333333335,Digana-Kandy
90,116,2022-09-24,10:42:34,11:36:21,Kandy,Digana,53.78333333333333,6.933333333333334,0.1289123024480942,5,Saturday,10.75,1,0,-3.655000000000001,Kandy-Digana
91,116,2022-09-24,13:21:07,14:12:37,Digana,Kandy,51.5,6.800000000000001,0.13203883495145632,5,Saturday,13.25,1,0,-5.938333333333333,Digana-Kandy
92,116,2022-09-24,15:21:37,16:13:46,Kandy,Digana,52.15,5.033333333333333,0.09651645893256632,5,Saturday,15.25,1,0,-5.288333333333334,Kandy-Digana
93,116,2022-09-26,08:31:05,09:18:04,Digana,Kandy,46.98333333333333,5.683333333333334,0.12096488116353318,0,Monday,8.5,0,1,-10.455000000000005,Digana-Kandy
94,116,2022-09-26,10:01:02,10:57:09,Kandy,Digana,56.11666666666667,3.95,0.07038907038907039,0,Monday,10.0,0,0,-1.3216666666666654,Kandy-Digana
95,116,2022-09-26,13:11:43,14:10:45,Digana,Kandy,59.03333333333333,7.166666666666667,0.12140033879164315,0,Monday,13.25,0,0,1.5949999999999989,Digana-Kandy
96,116,2022-09-26,14:31:45,15:22:42,Kandy,Digana,50.95,7.0,0.13738959764474976,0,Monday,14.5,0,0,-6.48833333333333,Kandy-Digana
97,116,2022-09-26,16:51:21,17:38:47,Digana,Kandy,47.43333333333333,4.216666666666667,0.08889669711876319,0,Monday,16.75,0,1,-10.005000000000003,Digana-Kandy
100,116,2022-09-27,07:01:57,07:58:17,Kandy,Digana,56.333333333333336,9.833333333333334,0.17455621301775148,1,Tuesday,7.0,0,1,-1.1049999999999969,Kandy-Digana
101,116,2022-09-27,10:01:09,10:50:52,Digana,Kandy,49.71666666666667,5.050000000000001,0.1015755950385518,1,Tuesday,10.0,0,0,-7.721666666666664,Digana-Kandy
102,116,2022-09-27,11:52:24,12:48:59,Kandy,Digana,56.583333333333336,12.666666666666668,0.22385861561119294,1,Tuesday,11.75,0,0,-0.8549999999999969,Kandy-Digana
103,116,2022-09-27,14:19:05,15:11:50,Digana,Kandy,52.75,7.483333333333332,0.1418641390205371,1,Tuesday,14.25,0,0,-4.688333333333333,Digana-Kandy
104,116,2022-09-27,16:10:20,17:08:01,Kandy,Digana,57.68333333333333,12.716666666666669,0.22045651545796016,1,Tuesday,16.25,0,1,0.24499999999999744,Kandy-Digana
105,116,2022-09-28,08:31:01,09:19:17,Digana,Kandy,48.266666666666666,2.65,0.05490331491712707,2,Wednesday,8.5,0,1,-9.171666666666667,Digana-Kandy
106,116,2022-09-28,09:51:48,10:45:06,Kandy,Digana,53.3,4.216666666666667,0.0791119449656035,2,Wednesday,9.75,0,0,-4.138333333333335,Kandy-Digana
107,116,2022-09-28,13:12:05,14:18:29,Digana,Kandy,66.4,12.933333333333334,0.19477911646586343,2,Wednesday,13.25,0,0,8.961666666666673,Digana-Kandy
108,116,2022-09-28,14:51:26,15:42:10,Kandy,Digana,50.73333333333333,5.416666666666667,0.10676741130091986,2,Wednesday,14.75,0,0,-6.705000000000005,Kandy-Digana
109,116,2022-09-29,08:21:43,09:07:33,Digana,Kandy,45.833333333333336,5.45,0.11890909090909091,3,Thursday,8.25,0,1,-11.604999999999997,Digana-Kandy
110,116,2022-09-29,09:51:48,10:39:22,Kandy,Digana,47.56666666666667,8.35,0.17554309740714785,3,Thursday,9.75,0,0,-9.871666666666663,Kandy-Digana
111,116,2022-09-29,13:01:12,13:58:02,Digana,Kandy,56.833333333333336,4.983333333333334,0.08768328445747801,3,Thursday,13.0,0,0,-0.6049999999999969,Digana-Kandy
112,116,2022-09-29,14:31:10,15:05:30,Kandy,Digana,34.333333333333336,1.3833333333333333,0.04029126213592232,3,Thursday,14.5,0,0,-23.104999999999997,Kandy-Digana
113,116,2022-09-29,17:11:20,18:07:00,Digana,Kandy,55.66666666666666,5.85,0.10508982035928145,3,Thursday,17.25,0,1,-1.7716666666666754,Digana-Kandy
114,116,2022-09-29,19:45:06,20:28:26,Kandy,Digana,43.333333333333336,3.733333333333333,0.08615384615384614,3,Thursday,19.75,0,0,-14.104999999999997,Kandy-Digana
116,117,2022-09-01,06:49:55,07:50:08,Kandy,Digana,60.21666666666667,14.366666666666672,0.23858289510102418,3,Thursday,6.75,0,0,2.778333333333336,Kandy-Digana
117,117,2022-09-01,09:30:07,10:25:55,Digana,Kandy,55.8,6.683333333333335,0.11977299880525691,3,Thursday,9.5,0,0,-1.6383333333333354,Digana-Kandy
118,117,2022-09-01,11:30:49,12:32:39,Kandy,Digana,61.833333333333336,8.416666666666666,0.1361185983827493,3,Thursday,11.5,0,0,4.395000000000003,Kandy-Digana
119,117,2022-09-01,14:30:11,15:23:57,Digana,Kandy,53.766666666666666,6.383333333333334,0.11872287662740237,3,Thursday,14.5,0,0,-3.671666666666667,Digana-Kandy
120,117,2022-09-06,06:50:22,07:48:36,Kandy,Digana,58.23333333333333,9.316666666666666,0.15998855180309102,1,Tuesday,6.75,0,0,0.7949999999999946,Kandy-Digana
121,117,2022-09-06,10:21:36,11:17:30,Digana,Kandy,55.9,6.949999999999997,0.12432915921288008,1,Tuesday,10.25,0,0,-1.538333333333334,Digana-Kandy
122,117,2022-09-06,12:01:45,13:03:01,Kandy,Digana,61.266666666666666,9.933333333333332,0.162132752992383,1,Tuesday,12.0,0,0,3.828333333333333,Kandy-Digana
123,117,2022-09-08,07:50:32,09:11:43,Kandy,Digana,81.18333333333334,33.95,0.4181892835146787,3,Thursday,7.75,0,1,23.745000000000005,Kandy-Digana
124,117,2022-09-08,10:51:27,11:48:09,Digana,Kandy,56.7,11.316666666666668,0.19958847736625515,3,Thursday,10.75,0,0,-0.7383333333333297,Digana-Kandy
125,117,2022-09-08,12:10:45,13:06:37,Kandy,Digana,55.86666666666667,6.199999999999999,0.11097852028639617,3,Thursday,12.25,0,0,-1.5716666666666654,Kandy-Digana
126,117,2022-09-08,14:31:24,15:21:21,Digana,Kandy,49.95,7.333333333333335,0.1468134801468135,3,Thursday,14.5,0,0,-7.48833333333333,Digana-Kandy
127,117,2022-09-09,06:29:35,07:24:06,Kandy,Digana,54.516666666666666,2.716666666666667,0.049831855701620305,4,Friday,6.5,0,0,-2.921666666666667,Kandy-Digana
128,117,2022-09-09,09:59:59,10:55:36,Digana,Kandy,55.61666666666667,7.816666666666667,0.14054540005993407,4,Friday,10.0,0,0,-1.8216666666666654,Digana-Kandy
129,117,2022-09-09,11:40:23,12:39:39,Kandy,Digana,59.266666666666666,7.883333333333333,0.13301462317210347,4,Friday,11.75,0,0,1.8283333333333331,Kandy-Digana
130,117,2022-09-09,15:30:49,16:21:04,Digana,Kandy,50.25,5.383333333333333,0.10713101160862354,4,Friday,15.5,0,0,-7.188333333333333,Digana-Kandy
131,117,2022-09-11,06:40:44,07:35:09,Kandy,Digana,54.41666666666666,8.416666666666666,0.15467075038284842,6,Sunday,6.75,1,0,-3.0216666666666754,Kandy-Digana
132,117,2022-09-11,10:14:35,11:06:03,Digana,Kandy,51.46666666666667,5.766666666666666,0.11204663212435231,6,Sunday,10.25,1,0,-5.971666666666664,Digana-Kandy
133,117,2022-09-11,12:50:20,13:46:31,Kandy,Digana,56.18333333333333,9.049999999999995,0.16107979827944222,6,Sunday,12.75,1,0,-1.2550000000000026,Kandy-Digana
134,117,2022-09-11,16:14:35,17:11:18,Digana,Kandy,56.71666666666667,6.016666666666665,0.1060828680575962,6,Sunday,16.25,1,1,-0.721666666666664,Digana-Kandy
135,117,2022-09-13,06:41:58,07:36:18,Kandy,Digana,54.333333333333336,8.966666666666669,0.16503067484662579,1,Tuesday,6.75,0,0,-3.104999999999997,Kandy-Digana
136,117,2022-09-13,09:41:10,10:31:32,Digana,Kandy,50.36666666666667,7.599999999999998,0.1508934480476505,1,Tuesday,9.75,0,0,-7.071666666666665,Digana-Kandy
137,117,2022-09-13,11:49:23,12:48:41,Kandy,Digana,59.3,10.8,0.18212478920741992,1,Tuesday,11.75,0,0,1.8616666666666646,Kandy-Digana
138,117,2022-09-13,14:30:55,15:25:44,Digana,Kandy,54.81666666666667,6.3166666666666655,0.11523259349346303,1,Tuesday,14.5,0,0,-2.6216666666666626,Digana-Kandy
139,117,2022-09-15,07:00:43,07:56:42,Kandy,Digana,55.98333333333333,8.700000000000001,0.15540339386722243,3,Thursday,7.0,0,1,-1.4550000000000054,Kandy-Digana
140,117,2022-09-15,09:29:59,10:20:30,Digana,Kandy,50.516666666666666,7.016666666666664,0.13889805344770698,3,Thursday,9.5,0,0,-6.921666666666667,Digana-Kandy
141,117,2022-09-15,11:10:58,12:07:19,Kandy,Digana,56.35,8.883333333333331,0.1576456669624371,3,Thursday,11.25,0,0,-1.0883333333333312,Kandy-Digana
142,117,2022-09-15,13:21:40,14:18:09,Digana,Kandy,56.48333333333333,10.383333333333333,0.18383003835939807,3,Thursday,13.25,0,0,-0.9550000000000054,Digana-Kandy
143,117,2022-09-15,15:00:24,15:51:58,Kandy,Digana,51.56666666666667,8.100000000000001,0.15707821590174534,3,Thursday,15.0,0,0,-5.871666666666663,Kandy-Digana
144,117,2022-09-15,16:58:07,17:52:38,Digana,Kandy,54.516666666666666,7.033333333333332,0.1290125343931519,3,Thursday,17.0,0,1,-2.921666666666667,Digana-Kandy
145,117,2022-09-16,06:21:06,07:19:32,Kandy,Digana,58.43333333333333,9.183333333333334,0.1571591557330291,4,Friday,6.25,0,0,0.9949999999999974,Kandy-Digana
146,117,2022-09-16,08:51:16,09:44:41,Digana,Kandy,53.41666666666666,6.383333333333333,0.11950078003120126,4,Friday,8.75,0,1,-4.021666666666675,Digana-Kandy
147,117,2022-09-16,10:31:37,11:30:29,Kandy,Digana,58.86666666666667,5.600000000000001,0.09513023782559459,4,Friday,10.5,0,0,1.4283333333333346,Kandy-Digana
148,117,2022-09-16,12:21:38,13:17:38,Digana,Kandy,56.0,8.016666666666666,0.1431547619047619,4,Friday,12.25,0,0,-1.4383333333333326,Digana-Kandy
149,117,2022-09-16,14:12:10,15:01:09,Kandy,Digana,48.98333333333333,5.883333333333333,0.120108880571623,4,Friday,14.25,0,0,-8.455000000000005,Kandy-Digana
150,117,2022-09-16,16:01:01,16:52:35,Digana,Kandy,51.56666666666667,5.95,0.11538461538461538,4,Friday,16.0,0,1,-5.871666666666663,Digana-Kandy
151,117,2022-09-18,06:41:48,07:37:46,Kandy,Digana,55.96666666666667,8.65,0.15455628350208458,6,Sunday,6.75,1,0,-1.471666666666664,Kandy-Digana
152,117,2022-09-18,09:51:35,10:46:01,Digana,Kandy,54.43333333333333,3.85,0.07072872014696878,6,Sunday,9.75,1,0,-3.0050000000000026,Digana-Kandy
153,117,2022-09-18,11:02:13,11:55:48,Kandy,Digana,53.583333333333336,5.15,0.09611197511664075,6,Sunday,11.0,1,0,-3.854999999999997,Kandy-Digana
154,117,2022-09-18,14:00:50,14:51:38,Digana,Kandy,50.8,4.583333333333335,0.09022309711286093,6,Sunday,14.0,1,0,-6.638333333333335,Digana-Kandy
155,117,2022-09-20,06:20:44,07:11:07,Kandy,Digana,50.38333333333333,7.766666666666667,0.15415150512735692,1,Tuesday,6.25,0,0,-7.055,Kandy-Digana
156,117,2022-09-20,09:19:19,10:10:20,Digana,Kandy,51.016666666666666,5.516666666666665,0.10813459653707935,1,Tuesday,9.25,0,0,-6.421666666666667,Digana-Kandy
157,117,2022-09-20,11:11:26,12:03:09,Kandy,Digana,51.71666666666667,4.816666666666667,0.09313567515307768,1,Tuesday,11.25,0,0,-5.721666666666664,Kandy-Digana
158,117,2022-09-20,12:51:49,13:54:33,Digana,Kandy,62.73333333333333,12.266666666666673,0.19553666312433593,1,Tuesday,12.75,0,0,5.294999999999995,Digana-Kandy
159,117,2022-09-20,14:51:27,15:42:05,Kandy,Digana,50.63333333333333,5.750000000000001,0.11356155365371957,1,Tuesday,14.75,0,0,-6.805,Kandy-Digana
160,117,2022-09-20,17:00:35,17:52:28,Digana,Kandy,51.88333333333333,6.383333333333333,0.12303244458721489,1,Tuesday,17.0,0,1,-5.555,Digana-Kandy
161,117,2022-09-21,06:09:26,07:07:00,Kandy,Digana,57.56666666666667,6.766666666666667,0.11754487550665894,2,Wednesday,6.25,0,0,0.1283333333333374,Kandy-Digana
162,117,2022-09-21,09:10:51,10:05:16,Digana,Kandy,54.41666666666666,5.5333333333333306,0.10168453292496168,2,Wednesday,9.25,0,0,-3.0216666666666754,Digana-Kandy
